,**Before**,**Propensity Score Mat**,**ching**,**After P**,**ropensity Score Mat**,**ching**
,"**SGLT2i**
**(n**= **7,334)**","**Metformin**
**(n**= **11,338)**",**Std Diff. (%)**,"**SGLT2i**
**(n**= **3,072)**","**Metformin**
**(n**= **3,072)**",**Std Diff. (%)**
Laboratory tests and examinations,,,,,,
"Systolic BP (mm Hg), mean± SD",128.7± 17.4,128.0± 17.2,4.2,128.5± 16.6,128.4± 17.9,0.8
"Diastolic BP (mm Hg), mean± SD",76.9± 11.5,76.9± 11.8,0.1,77.6± 10.9,76.7± 11.9,7.9
"Heart rate, mean± SD",83.2± 14.1,82.6± 14.3,4.7,83.0± 13.8,83.0± 14.5,0.2
"Body mass index (kg/m<sup>2</sup>), mean± SD",35.8± 8.5,36.3± 8.7,6.6,35.5± 8.3,35.7± 8.7,2.4
"Total cholesterol (mg/dL), mean± SD",174.9± 46.7,189.9± 46.1,32.3,181.0± 48.2,183.1± 51.4,4.1
"LDL cholesterol (mg/dL), mean± SD",95.2± 38.3,109.9± 37.5,39,100.1± 39.0,102.5± 39.3,6
"HDL cholesterol (mg/dL), mean± SD",45.6± 15.4,46.1± 15.7,3.2,46.3± 14.9,45.1± 16.0,7.7
"Triglyceride (mg/dL), mean± SD",180.6± 139.6,175.9± 148.1,3.3,186.1± 148.3,185.9± 185.6,0.1
"Estimated GFR (MDRD, mL/min), mean± SD",82.0± 29.4,88.4± 26.7,22.7,87.1± 28.0,86.7± 27.9,1.5
"HbA1c (%), mean± SD",8.1± 1.9,7.5± 1.9,36,8.0± 1.8,8.1± 2.1,5
Medications,,,,,,
"Beta-blockers, n (%)","3,313 (45.2%)","3,637 (32.1%)",27.1,"1,212 (39.5%)","1,203 (39.2%)",0.6
"Calcium-channel blockers, n (%)","2,475 (33.7%)","2,379 (21%)",28.9,861 (28%),893 (29.1%),2.3
"ACE inhibitors, n (%)","2,292 (31.3%)","2,642 (23.3%)",17.9,914 (29.8%),933 (30.4%),1.3
"Angiotensin II inhibitors, n (%)","2,500 (34.1%)",2017 (17.8%),37.8,868 (28.3%),883 (28.7%),1.1
"ARNI, n (%)",199 (2.7%),10 (0.1%),22.5,10 (0.3%),10 (0.3%),0
"MRA, n (%)",989 (13.5%),690 (6.1%),25.1,260 (8.5%),261 (8.5%),0.1
"Diuretics, n (%)","3,362 (45.8%)","3,705 (32.7%)",27.2,"1,194 (38.9%)","1,206 (39.3%)",0.8
"Digitalis glycosides, n (%)",92 (1.3%),42 (0.4%),9.9,21 (0.7%),22 (0.7%),0.4
"Amiodarone, n (%)",131 (1.8%),45 (0.4%),13.4,27 (0.9%),23 (0.7%),1.4
"Lipid-lowering drugs, n (%)","5,218 (71.1%)","4,867 (42.9%)",59.5,1996 (65%),2020 (65.8%),1.6
"Metformin, n (%)","4,963 (67.7%)","11,338 (100%)",97.7,"3,063 (99.7%)","3,072 (100%)",7.7
"Sulfonylureas, n (%)",1833 (25%),"1,027 (9.1%)",43.4,567 (18.5%),561 (18.3%),0.5
"GLP-1 receptor agonists, n (%)","2,544 (34.7%)",960 (8.5%),67.2,644 (21%),671 (21.8%),2.1
"DPP4 inhibitors, n (%)","1,427 (19.5%)",640 (5.6%),42.6,435 (14.2%),440 (14.3%),0.5
"Thiazolidinediones, n (%)",391 (5.3%),175 (1.5%),20.9,105 (3.4%),114 (3.7%),1.6
"Insulin, n (%)",1778 (24.2%),858 (7.6%),46.8,465 (15.1%),447 (14.6%),1.6
"Antiplatelet therapy, n (%)","2,223 (30.3%)","2,101 (18.5%)",27.7,747 (24.3%),742 (24.2%),0.4
"Anticoagulant, n (%)",477 (6.5%),349 (3.1%),16.1,134 (4.4%),127 (4.1%),1.1
